api_food_id,slug,display_name,canonical_name_en,description_en,category,is_fast_food,nutrient_basis,basis_grams,calories_kcal,protein_g,carbs_g,sugars_g,fiber_g,fat_g,saturated_fat_g,monounsaturated_fat_g,polyunsaturated_fat_g,water_g,sodium_mg,cholesterol_mg,kcal_from_macros,energy_gap_kcal,basis_check_status,quality_score,source_dataset,source_country_scope,source_food_name,source_page_url,source_url,source_name,source_priority,match_action,yazio_title_de,yazio_url,macro_sum_g,flag_core_gt_100g,flag_macro_sum_gt_100g,flag_kcal_unlikely,flag_energy_gap_large,missing_core_count
FOOD000001,child-formula,Child Formula,child formula,"abbott nutrition, pediasure, ready-to-feed formerly ross | abbott nutrition, pediasure, ready-to-feed, with iron and fiber formerly ross | mead johnson, portagen, with iron, powder, not reconstituted | mead johnson, portagen, with iron, prepared from powder",baby_food,False,per_100g,100,99.0,3.095,11.215,9.05,0.5,4.734999999999999,2.605,1.31,1.07,80.47,44.0,,100.9,1.9,passed_heuristic_check,100,USDA-derived nutrient table,United States,"Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed (formerly ROSS) | Child formula, ABBOTT NUTRITION, PEDIASURE, ready-to-feed, with iron and fiber (formerly ROSS) | Child formula, MEAD JOHNSON, PORTAGEN, with iron, powder, not reconstituted | Child formula, MEAD JOHNSON, PORTAGEN, with iron, prepared from powder",https://fdc.nal.usda.gov/,https://gist.githubusercontent.com/curran/1921f017c86fad11d39c9dc85b4f61c9/raw/5b3783a9ab58fb216a10a81c2b03b576b21d8c7a/nutrients.csv,,,,,,19.545,False,False,False,False,0
FOOD000002,fluid-replacement,Fluid Replacement,fluid replacement,electrolyte solution include pedialyte,baby_food,False,per_100g,100,10.0,,2.45,2.45,,,,,,96.44,101.0,,9.8,0.2,passed_heuristic_check,80,USDA-derived nutrient table,United States,"Fluid replacement, electrolyte solution (include PEDIALYTE)",https://fdc.nal.usda.gov/,https://gist.githubusercontent.com/curran/1921f017c86fad11d39c9dc85b4f61c9/raw/5b3783a9ab58fb216a10a81c2b03b576b21d8c7a/nutrients.csv,,,,,,2.45,False,False,False,False,2
FOOD000003,infant-formula,Infant Formula,infant formula,"abbott nutrition, alimentum advance, with iron, powder, not reconstituted, with dha and ara formerly ross | abbott nutrition, similac natural care, advance, ready-to-feed, with ara and dha formerly ross | abbott nutrition, similac neosure, ready-to-feed, with ara and dha formerly ross | abbott nutrition, similac, advance, with iron, liquid concentrate, not reconstituted formerly ross | abbott nutrition, similac, advance, with iron, powder, not reconstituted formerly ross | abbott nutrition, similac, advance, with iron, ready-to-feed formerly ross | abbott nutrition, similac, alimentum, advance, ready-to-feed, with ara and dha formerly ross | abbott nutrition, similac, alimentum, with iron, ready-to-feed formerly ross | abbott nutrition, similac, isomil, advance with iron, liquid concentrate formerly ross | abbott nutrition, similac, isomil, advance with iron, powder, not reconstituted formerly ross | abbott nutrition, similac, isomil, advance with iron, ready-to-feed formerly ross | abbott nutrition, similac, isomil, with iron, liquid concentrate formerly ross | abbott nutrition, similac, isomil, with iron, powder, not reconstituted formerly ross | abbott nutrition, similac, isomil, with iron, ready-to-feed formerly ross | abbott nutrition, similac, low iron, liquid concentrate, not reconstituted formerly ross | abbott nutrition, similac, low iron, powder, not reconstituted formerly ross | abbott nutrition, similac, low iron, ready-to-feed formerly ross | abbott nutrition, similac, neosure, powder, with ara and dha formerly ross | abbott nutrition, similac, pm 60/40, powder not reconstituted formerly ross | abbott nutrition, similac, sensitive lactose free ready-to-feed, with ara and dha formerly ross | abbott nutrition, similac, sensitive, lactose free, liquid concentrate, with ara and dha formerly ross | abbott nutrition, similac, sensitive, lactose free, powder, with ara and dha formerly ross | abbott nutrition, similac, special care, advance 24, with iron, ready",baby_food,False,per_100g,100,128.0,2.76,13.64,13.1,,6.89,2.9,2.55,1.37,75.81,36.0,,127.6,0.4,passed_heuristic_check,100,USDA-derived nutrient table,United States,"Infant Formula, MEAD JOHNSON, ENFAMIL GENTLEASE LIPIL, with iron, prepared from powder | Infant Formula, MEAD JOHNSON, ENFAMIL, ENFACARE LIPIL, ready-to-feed, with ARA and DHA | Infant formula, ABBOTT NUTRITION, ALIMENTUM ADVANCE, with iron, powder, not reconstituted, with DHA and ARA (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC NATURAL CARE, ADVANCE, ready-to-feed, with ARA and DHA (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC NEOSURE, ready-to-feed, with ARA and DHA (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC, ADVANCE, with iron, liquid concentrate, not reconstituted (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC, ADVANCE, with iron, powder, not reconstituted (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC, ADVANCE, with iron, ready-to-feed (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC, ALIMENTUM, ADVANCE, ready-to-feed, with ARA and DHA (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC, ALIMENTUM, with iron, ready-to-feed (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, ADVANCE with iron, liquid concentrate (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, ADVANCE with iron, powder, not reconstituted (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, ADVANCE with iron, ready-to-feed (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, liquid concentrate (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, powder, not reconstituted (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC, ISOMIL, with iron, ready-to-feed (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC, NEOSURE, powder, with ARA and DHA (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC, PM 60/40, powder not reconstituted (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC, SENSITIVE (LACTOSE FREE) ready-to-feed, with ARA and DHA (formerly ROSS) | Infant formula, ABBOTT NUTRITION, SIMILAC, SENSITIVE, (LACTOSE FREE), liquid concentrate, with ARA and DHA (formerly ROSS)",https://fdc.nal.usda.gov/,https://gist.githubusercontent.com/curran/1921f017c86fad11d39c9dc85b4f61c9/raw/5b3783a9ab58fb216a10a81c2b03b576b21d8c7a/nutrients.csv,,,,,,23.29,False,False,False,False,0
FOOD000004,zwieback,Zwieback,zwieback,,baby_food,False,per_100g,100,426.0,10.1,74.2,12.5,2.5,9.7,2.52,4.24,2.07,4.5,227.0,,429.5,3.5,passed_heuristic_check,100,USDA-derived nutrient table,United States,Zwieback,https://fdc.nal.usda.gov/,https://gist.githubusercontent.com/curran/1921f017c86fad11d39c9dc85b4f61c9/raw/5b3783a9ab58fb216a10a81c2b03b576b21d8c7a/nutrients.csv,,,,,,96.5,False,False,False,False,0
FOOD000005,alcoholic-beverage,Alcoholic Beverage,alcoholic beverage,"beer, light | beer, light, bud light | beer, light, budweiser select | beer, light, michelob ultra | beer, regular, all | beer, regular, budweiser | creme de menthe, 72 proof | daiquiri, canned | daiquiri, prepared-from-recipe | distilled, all gin, rum, vodka, whiskey 100 proof | distilled, all gin, rum, vodka, whiskey 80 proof | distilled, all gin, rum, vodka, whiskey 86 proof | distilled, all gin, rum, vodka, whiskey 90 proof | distilled, all gin, rum, vodka, whiskey 94 proof | distilled, gin, 90 proof | distilled, rum, 80 proof | distilled, vodka, 80 proof | distilled, whiskey, 86 proof | liqueur, coffee with cream, 34 proof | liqueur, coffee, 53 proof | liqueur, coffee, 63 proof | pina colada, canned | pina colada, prepared-from-recipe | rice sake | tequila sunrise, canned | whiskey sour, canned | whiskey sour, prepared from item 14028 | whiskey sour, prepared from item 14530 | whiskey sour, prepared with water, whiskey and powder mix | wine, cooking | wine, dessert, dry | wine, dessert, sweet | wine, light | wine, table, all | wine, table, red | wine, table, red, barbera | wine, table, red, burgundy | wine, table, red, cabernet franc | wine, table, red, cabernet sauvignon | wine, table, red, carignane | wine, table, red, claret | wine, table, red, gamay | wine, table, red, lemberger | wine, table, red, merlot | wine, table, red, mouvedre | wine, table, red, petite sirah | wine, table, red, pinot noir | wine, table, red, sangiovese | wine, table, red, syrah | wine, table, red, zinfandel | wine, table, white | wine, table, white, chenin blanc | wine, table, white, fume blanc | wine, table, white, gewurztraminer | wine, table, white, late harvest | wine, table, white, muller thurgau | wine, table, white, muscat | wine, table, white, pinot blanc | wine, table, white, pinot gris grigio | wine, table, white, riesling | wine, table, white, sauvignon blanc | wine, table, white, semillon",beverages,False,per_100g,100,85.0,0.07,2.86,3.565,0.1,0.3,0.01,0.02,0.065,86.195,1.0,,14.6,70.4,passed_heuristic_check,100,USDA-derived nutrient table,United States,"Alcoholic Beverage, wine, table, red, Barbera | Alcoholic Beverage, wine, table, red, Burgundy | Alcoholic Beverage, wine, table, red, Cabernet Franc | Alcoholic Beverage, wine, table, red, Cabernet Sauvignon | Alcoholic Beverage, wine, table, red, Carignane | Alcoholic Beverage, wine, table, red, Claret | Alcoholic Beverage, wine, table, red, Gamay | Alcoholic Beverage, wine, table, red, Lemberger | Alcoholic Beverage, wine, table, red, Merlot | Alcoholic Beverage, wine, table, red, Mouvedre | Alcoholic Beverage, wine, table, red, Petite Sirah | Alcoholic Beverage, wine, table, red, Pinot Noir | Alcoholic Beverage, wine, table, red, Sangiovese | Alcoholic Beverage, wine, table, red, Syrah | Alcoholic Beverage, wine, table, red, Zinfandel | Alcoholic beverage, beer, light | Alcoholic beverage, beer, light, BUD LIGHT | Alcoholic beverage, beer, light, BUDWEISER SELECT | Alcoholic beverage, beer, light, MICHELOB ULTRA | Alcoholic beverage, beer, regular, BUDWEISER",https://fdc.nal.usda.gov/,https://gist.githubusercontent.com/curran/1921f017c86fad11d39c9dc85b4f61c9/raw/5b3783a9ab58fb216a10a81c2b03b576b21d8c7a/nutrients.csv,,,,,,3.33,False,False,False,False,0
FOOD000006,beer,Beer,beer,five grain,beverages,False,per_100g,100,40.0,0.6,2.0,2.0,0.2,0.0,0.0,0.0,0.0,92.5,1.4,0.0,10.8,29.2,passed_heuristic_check,100,Swiss Food Composition Database,Switzerland,"Beer, five grain",https://github.com/foodopendata/food-composition-ch,https://raw.githubusercontent.com/foodopendata/food-composition-ch/refs/heads/master/data/generic-foods.csv,,,,,,2.8,False,False,False,False,0
FOOD000007,beer-shandy-average,Beer Shandy Average,beer shandy average,,beverages,False,per_100g,100,38.0,0.2,7.1,6.4,0.0,0.0,0.0,0.0,0.0,91.1,3.1,0.0,29.2,8.8,passed_heuristic_check,100,Swiss Food Composition Database,Switzerland,Beer shandy (average),https://github.com/foodopendata/food-composition-ch,https://raw.githubusercontent.com/foodopendata/food-composition-ch/refs/heads/master/data/generic-foods.csv,,,,,,7.3,False,False,False,False,0
FOOD000008,beverage,Beverage,beverage,"horchata, as served in restaurant | horchata, dry mix, unprepared, variety of brands, all with morro seeds | instant breakfast powder, chocolate, not reconstituted | instant breakfast powder, chocolate, sugar-free, not reconstituted | milkshake mix, dry, not chocolate",beverages,False,per_100g,100,357.0,19.9,52.9,39.0,1.8,2.6,2.075,0.76,0.655,7.4,385.0,,318.2,38.8,passed_heuristic_check,100,USDA-derived nutrient table,United States,"Beverage, Horchata, as served in restaurant | Beverage, Horchata, dry mix, unprepared, variety of brands, all with morro seeds | Beverage, instant breakfast powder, chocolate, not reconstituted | Beverage, instant breakfast powder, chocolate, sugar-free, not reconstituted | Beverage, milkshake mix, dry, not chocolate",https://fdc.nal.usda.gov/,https://gist.githubusercontent.com/curran/1921f017c86fad11d39c9dc85b4f61c9/raw/5b3783a9ab58fb216a10a81c2b03b576b21d8c7a/nutrients.csv,,,,,,77.19999999999999,False,False,False,False,0
FOOD000009,buffalo,Buffalo,buffalo,"free range, top round steak, cooked shoshone bannock | free range, top round steak, raw shoshone bannock",beverages,False,per_100g,100,121.5,26.975,,,,1.55,0.51,0.515,0.135,70.12,42.0,,121.8,0.3,passed_heuristic_check,90,USDA-derived nutrient table,United States,"Buffalo, free range, top round steak, cooked (Shoshone Bannock) | Buffalo, free range, top round steak, raw (Shoshone Bannock)",https://fdc.nal.usda.gov/,https://gist.githubusercontent.com/curran/1921f017c86fad11d39c9dc85b4f61c9/raw/5b3783a9ab58fb216a10a81c2b03b576b21d8c7a/nutrients.csv,,,,,,28.525,False,False,False,False,1
FOOD000010,calimocho-red-wine-mixed-with-cola,Calimocho Red Wine Mixed With Cola,calimocho red wine mixed with cola,,beverages,False,per_100g,100,58.0,0.0,5.1,5.1,0.0,0.0,0.0,0.0,0.0,89.0,4.5,0.0,20.4,37.6,passed_heuristic_check,100,Swiss Food Composition Database,Switzerland,Calimocho (red wine mixed with cola),https://github.com/foodopendata/food-composition-ch,https://raw.githubusercontent.com/foodopendata/food-composition-ch/refs/heads/master/data/generic-foods.csv,,,,,,5.1,False,False,False,False,0
